accepted,cost
831000,1.20178e+06
832000,1.42407e+06
833000,2.26884e+06
834000,1.0904e+06
835000,2.06653e+06
836000,1.80832e+06
837000,1.31326e+06
838000,893896
839000,1.38238e+06
840000,1.25467e+06
841000,1.2431e+06
842000,1.47749e+06
843000,1.05341e+06
844000,841242
845000,1.54629e+06
846000,1.75811e+06
847000,866732
848000,1.64881e+06
849000,1.02882e+06
850000,1.2235e+06
851000,1.31798e+06
852000,624026
853000,1.37037e+06
854000,1.04041e+06
855000,1.35005e+06
856000,1.45535e+06
857000,639120
858000,1.33356e+06
859000,1.85223e+06
860000,970930
861000,1.91154e+06
862000,1.90118e+06
863000,872945
864000,1.46626e+06
865000,1.35814e+06
866000,890654
867000,755984
868000,965448
869000,1.08006e+06
870000,1.88789e+06
871000,1.13882e+06
872000,1.97752e+06
873000,776009
874000,1.54537e+06
875000,2.001e+06
876000,1.57472e+06
877000,957243
878000,931585
879000,834193
880000,1.8027e+06
881000,791941
882000,1.15319e+06
883000,1.79753e+06
884000,1.74437e+06
885000,1.31403e+06
886000,943588
887000,1.81482e+06
888000,1.6296e+06
889000,773574
890000,1.083e+06
891000,1.47311e+06
892000,810859
893000,722989
894000,556318
895000,1.37008e+06
896000,1.16138e+06
897000,1.51604e+06
898000,1.49709e+06
899000,1.64844e+06
900000,1.21444e+06
901000,994835
902000,735580
903000,1.06983e+06
904000,1.82021e+06
905000,1.17421e+06
906000,616039
907000,603652
908000,1.31632e+06
909000,1.05574e+06
910000,1.17906e+06
911000,1.15373e+06
912000,1.46615e+06
913000,837100
914000,1.41503e+06
915000,669701
916000,1.50699e+06
917000,1.18167e+06
918000,1.17275e+06
919000,1.92466e+06
920000,1.04668e+06
921000,767911
922000,1.26773e+06
923000,1.09008e+06
924000,908238
925000,1.6286e+06
926000,1.36821e+06
927000,1.17605e+06
928000,1.26189e+06
929000,964379
930000,1.18555e+06
931000,881871
932000,1.11764e+06
933000,1.47627e+06
934000,548138
935000,844846
936000,771186
937000,1.02424e+06
938000,983685
939000,1.24002e+06
940000,1.27922e+06
941000,819679
942000,1.71683e+06
943000,1.32555e+06
944000,1.40733e+06
945000,1.01116e+06
946000,1.4756e+06
947000,943721
948000,868129
949000,995421
950000,1.03395e+06
951000,873522
952000,1.73059e+06
953000,765992
954000,1.04312e+06
955000,668595
956000,709921
957000,932850
958000,838919
959000,1.37776e+06
960000,981919
961000,986241
962000,1.28472e+06
963000,255552
964000,1.0386e+06
965000,957322
966000,926713
967000,746389
968000,1.12536e+06
969000,1.18728e+06
970000,884219
971000,1.61684e+06
972000,1.08848e+06
973000,659965
974000,785503
975000,1.05862e+06
976000,663992
977000,723526
978000,782143
979000,1.14107e+06
980000,1.17739e+06
981000,615256
982000,1.34785e+06
983000,950821
984000,1.16618e+06
985000,764581
986000,675684
987000,811775
988000,1.27844e+06
989000,1.18648e+06
990000,1.04805e+06
991000,905804
992000,709207
993000,709623
994000,1.0336e+06
995000,942859
996000,995335
997000,1.31698e+06
998000,688860
999000,931869
1000000,311821
1001000,1.15759e+06
1002000,589293
1003000,1.19722e+06
1004000,517669
1005000,848584
1006000,563975
1007000,1.13323e+06
1008000,1.02496e+06
1009000,393761
1010000,293203
1011000,1.22124e+06
1012000,728237
1013000,472230
1014000,347352
1015000,968409
1016000,1.15486e+06
1017000,680444
1018000,637893
1019000,1.26935e+06
1020000,714448
1021000,1.03977e+06
1022000,1.15539e+06
1023000,576635
1024000,390489
1025000,191809
1026000,609861
1027000,1.06116e+06
1028000,495452
1029000,230269
1030000,231877
1031000,575767
1032000,238922
1033000,843888
1034000,1.05637e+06
